Post Date,Description,Amount,business justification,Total
10/26/2024,SQSP* INV155179797 New York NY,12,Web hosting / domain expense (deductible),6609.62
10/27/2024,MyTrip Miami FL,995.65,Business travel / lodging expense (deductible),
11/03/2024,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
11/09/2024,SQSP* INV157018427 New York NY,12,Web hosting / domain expense (deductible),
11/23/2024,Envato UT,26,Business services / marketplace tools (deductible),
11/26/2024,ZOHO* Zoho-Workplace Pleasanton CA,10.59,Business software / AI tools subscription (deductible),
12/03/2024,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
12/07/2024,LinkedIn SN Mountain View CA,99.99,Professional tools / networking (deductible),
12/11/2024,WEB*Networksolutions Jacksonville FL,5.18,Web hosting / domain expense (deductible),
12/27/2024,Shalizar Restaurant Belmont CA,331.92,Team meals / client meeting refreshments (deductible if business related),
01/08/2025,OpenAI San Francisco CA,5,Business software / AI tools subscription (deductible),
01/09/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
01/16/2025,OpenAI San Francisco CA,5,Business software / AI tools subscription (deductible),
01/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
01/20/2025,Eclair Bakery New York NY,15.45,Team meals / client meeting refreshments (deductible if business related),
01/22/2025,Trader Joe’s #571 New York NY,7.61,Team meals / client meeting refreshments (deductible if business related),
01/23/2025,Motto New York City NY Hotel,374.94,Business travel / lodging expense (deductible),
01/30/2025,Hotel at Booking.com Amsterdam NL,366.34,Business travel / lodging expense (deductible),
02/03/2025,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
02/05/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
02/10/2025,Agoda.com First Cent Internet DF,450.2,Business travel / lodging expense (deductible),
02/11/2025,SQSP INV169204517 New York NY,12,Web hosting / domain expense (deductible),
02/13/2025,Agoda.com First Cent Internet DF,274.07,Business travel / lodging expense (deductible),
02/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
02/26/2025,USPS PO 3596140014 New York NY,53.59,Business mailing / regulatory fees (deductible),
02/26/2025,MTA*NYCT Paygo New York NY,2.9,Business transportation (deductible),
02/27/2025,USPS PO 3596140014 New York NY,26.3,Business mailing / regulatory fees (deductible),
02/27/2025,Trader Joe’s #571 New York NY,4.64,Team meals / client meeting refreshments (deductible if business related),
03/02/2025,Fooda CNP Chicago IL,0.65,Team meals / client meeting refreshments (deductible if business related),
03/05/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
03/13/2025,Safeway #0705 Mountain View CA,12.2,Team meals / client meeting refreshments (deductible if business related),
03/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
03/29/2025,Aladdin Gourmet Market San Mateo CA,9.83,Team meals / client meeting refreshments (deductible if business related),
04/02/2025,WEB*Networksolutions Jacksonville FL,3,Web hosting / domain expense (deductible),
04/03/2025,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
04/06/2025,Agoda.com Skylark Ho Internet DF,276.76,Business travel / lodging expense (deductible),
04/15/2025,Agoda.com Rose Rayha Internet DF,276.76,Business travel / lodging expense (deductible),
04/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
04/23/2025,Trader Joe’s #081 Mountain View CA,12.2,Team meals / client meeting refreshments (deductible if business related),
04/24/2025,Cursor Usage Mid Apr New York NY,20.03,Business software / AI tools subscription (deductible),
04/24/2025,Uber *Eats 8005928996 CA,9.99,Business transportation (deductible),
04/24/2025,Uber *One 8005928996 CA,9.99,Business transportation (deductible),
04/28/2025,Cursor Usage Mid Apr New York NY,20.03,Business software / AI tools subscription (deductible),
04/30/2025,WEB*Networksolutions Jacksonville FL,3,Web hosting / domain expense (deductible),
05/02/2025,Safeway #0688 Belmont CA,18.57,Team meals / client meeting refreshments (deductible if business related),
05/03/2025,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
05/05/2025,Supabase Singapore SG,25,Business software / AI tools subscription (deductible),
05/07/2025,Cursor Usage Apr New York NY,9.97,Business software / AI tools subscription (deductible),
05/14/2025,Cursor Usage Mid May New York NY,20,Business software / AI tools subscription (deductible),
05/18/2025,Cursor Usage Mid May New York NY,20.15,Business software / AI tools subscription (deductible),
05/25/2025,Aladdin Gourmet Market San Mateo CA,34.37,Team meals / client meeting refreshments (deductible if business related),
05/28/2025,WEB*Networksolutions Jacksonville FL,3,Web hosting / domain expense (deductible),
06/03/2025,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
06/05/2025,WholeFoods Los Altos CA,98.28,Team meals / client meeting refreshments (deductible if business related),
06/06/2025,SiteGround Hosting Alexandria VA,35.88,Web hosting / domain expense (deductible),
06/08/2025,Cursor Usage May New York NY,32.43,Business software / AI tools subscription (deductible),
06/09/2025,Microsoft MSBILL.INFO WA,5.53,Professional tools / networking (deductible),
06/12/2025,Safeway #1138 Belmont CA,4.03,Team meals / client meeting refreshments (deductible if business related),
06/13/2025,Aladdin Gourmet Market San Mateo CA,52.86,Team meals / client meeting refreshments (deductible if business related),
06/21/2025,Trader Joe’s #068 Sunnyvale CA,43.56,Team meals / client meeting refreshments (deductible if business related),
06/23/2025,USPS PO Palo Alto CA,12.15,Business mailing / regulatory fees (deductible),
06/26/2025,WEB*NETWORKSOLUTIONS JACKSONVILLE FL,3,Web hosting / domain expense (deductible),
07/02/2025,TRADER JOE S #068 SUNNYVALE CA,96.53,Team meals / client meeting refreshments (deductible if business related),
07/03/2025,"CURSOR, AI POWERED IDE NEW YORK NY",20,Business software / AI tools subscription (deductible),
07/03/2025,SAFEWAY #2719 MENLO PARK CA,4.99,Team meals / client meeting refreshments (deductible if business related),
07/04/2025,ALADDIN GOURMET MARKET SAN MATEO CA,14.17,Team meals / client meeting refreshments (deductible if business related),
07/06/2025,CURSOR USAGE JUN NEW YORK NY,88.83,Business software / AI tools subscription (deductible),
07/09/2025,MICROSOFT-G100635162 MSBILL.INFO WA,105.56,Professional tools / networking (deductible),
07/12/2025,CURSOR USAGE MID JUL NEW YORK NY,60.08,Business software / AI tools subscription (deductible),
07/17/2025,CURSOR USAGE MID JUL NEW YORK NY,80.72,Business software / AI tools subscription (deductible),
07/23/2025,WEB*NETWORKSOLUTIONS JACKSONVILLE FL,3,Web hosting / domain expense (deductible),
07/28/2025,FOODA CNP CHICAGO IL,2.6,Team meals / client meeting refreshments (deductible if business related),
07/29/2025,FOODA CNP CHICAGO IL,17.95,Team meals / client meeting refreshments (deductible if business related),
07/31/2025,USPS PO 0558030193 PALO ALTO CA,13.2,Business mailing / regulatory fees (deductible),
07/31/2025,SAFEWAY #1138 BELMONT CA,9.98,Team meals / client meeting refreshments (deductible if business related),
08/04/2025,FD *CA DMV 548 REDWOOD CITY CA,45,Business mailing / regulatory fees (deductible),
08/04/2025,FD *CA DMV 548 *SVC REDWOOD CITY CA,0.95,Business mailing / regulatory fees (deductible),
08/04/2025,TRADER JOE S #207 PALO ALTO CA,5.98,Team meals / client meeting refreshments (deductible if business related),
08/09/2025,CURSOR USAGE JUL NEW YORK NY,12.39,Business software / AI tools subscription (deductible),
08/09/2025,MICROSOFT-G106352200 MSBILL.INFO WA,29.11,Professional tools / networking (deductible),
08/11/2025,FOODA CNP CHICAGO IL,0.25,Team meals / client meeting refreshments (deductible if business related),
08/16/2025,SPROUTS FARMERS MARK SAN JOSE CA,20.97,Team meals / client meeting refreshments (deductible if business related),
08/20/2025,WEB*NETWORKSOLUTIONS JACKSONVILLE FL,3,Web hosting / domain expense (deductible),
08/24/2025,ROSE INTERNATIONAL MAR MOUNTAIN VIEWCA,116.98,Business services / marketplace tools (deductible),
09/01/2025,AGODA.COM ROYALE CHU INTERNET DF,368.17,Business travel / lodging expense (deductible),
09/12/2025,GRAB RIDES-EC PETALING JAYAMY,2.21,Business transportation (deductible),
09/12/2025,GRAB RIDES-EC PETALING JAYAMY,15.9,Business transportation (deductible),
09/13/2025,AIRPAZ (USD) KUALA LUMPUR MY,139.89,Business travel / lodging expense (deductible),
09/14/2025,HOTEL AT BOOKING.COM AMSTERDAM NL,41.37,Business travel / lodging expense (deductible),
09/17/2025,WEB*NETWORKSOLUTIONS JACKSONVILLE FL,3,Web hosting / domain expense (deductible),
09/18/2025,AGODA.COM TJAMPUHAN INTERNET DF,94.49,Business travel / lodging expense (deductible),
09/19/2025,AGODA.COM TJAMPUHAN INTERNET DF,107.49,Business travel / lodging expense (deductible),
09/20/2025,AGODA.COM THE KUALA INTERNET DF,446.76,Business travel / lodging expense (deductible),
09/22/2025,GRAB RIDES-EC PETALING JAYAMY,2.94,Business transportation (deductible),
09/22/2025,GRAB RIDES-EC PETALING JAYAMY,15.94,Business transportation (deductible),
09/24/2025,AGODA.COM THE KUALA INTERNET DF,111.11,Business travel / lodging expense (deductible),
09/26/2025,AGODA.COM HOTEL SABA INTERNET DF,69.55,Business travel / lodging expense (deductible),
09/26/2025,TRADER JOE S #068 SUNNYVALE CA,66.47,Team meals / client meeting refreshments (deductible if business related),